teamNum,teamName,portcullis,chevyX,moat,ramparts,drawBridge,sallyPort,rockWall,roughTerrain,lowBar,shotblock,pickup,highshot,lowshot,topSpeed,climb,aApproach,aCross,aShootLow,aShootHigh,challenge,aportcullis,achevyX,amoat,aramparts,adrawBridge,asallyPort,arockWall,aroughTerrain,alowBar,role
0,allbutlow,502.99,0,302.99,301.99,803.99,201.99,401.99,401.99,300.99,0.1,100.6,300.3,200.8,500.99,1005.75,0.99,0.6,0.7,0.5,100.99,502.99,401.99,302.99,301.99,803.99,1002.99,401.99,301.99,0,DEFENSEBREAKER
1,lowonly,502.99,401.99,0,100.99,301.99,1002.99,501.99,301.99,400.99,0.2,200.4,400.35,100.95,600.99,1204.8,0.99,0.6,0.7,0.5,100.99,0,0,0,0,0,0,0,0,400.99,DEFENSEBREAKER
2,easyones,0,501.99,402.99,301.99,0,0,0,201.99,0,0.3,300.8,500.5,100.8,700.99,802.9,0.99,0.6,0.7,0.5,100.99,0,501.99,402.99,301.99,0,0,0,201.99,0,DEFENSEBREAKER
3,none,1000.99,800.99,0,0,0,0,0,0,0,0.4,401.3,400.5,400.5,800.99,904.7,0.99,0.6,0.7,0.5,100.99,1000.99,800.99,0,0,0,0,0,0,0,DEFENSEBREAKER
4,all,1002.75,801.7,602.99,501.99,1203.6,1002.6,601.9,501.99,500.99,0.5,400.8,300.3,100.8,900.99,502.9,0.99,0.6,0.7,0.5,100.99,102.75,201.7,602.99,501.99,1203.6,1002.6,601.9,501.99,500.99,DEFENSEBREAKER
5,afew,301.99,301.99,201.99,200.99,502.99,602.99,201.99,201.99,1203.99,0.6,500.9,100.2,200.8,700.99,0,0.99,0.6,0.7,0.5,100.99,301.99,301.99,201.99,200.99,502.99,602.99,201.99,201.99,1203.99,DEFENSEBREAKER
6,hi-shot-A,500.9,600.8,200.99,200.99,0,0,200.99,200.99,0,0.4,300.9,300.8,100.95,900.99,500.8,0.99,0.6,0.7,0.5,100.99,0,0,0,0,0,0,0,0,0,SHOOTER
7,Lo-shot,800.8,900.6,400.99,400.99,0,0,400.99,400.99,300.99,0.6,300.9,0,200.95,600.99,800.6,0.99,0.6,0.7,0.5,100.99,0,0,0,0,0,0,0,0,0,DEFENDER
9,Hi-Shot C,0,0,300.99,300.99,0,0,300.99,300.99,0,0.6,200.9,400.5,200.8,400.9,0,0.99,0.6,0.7,0.5,100.99,0,0,0,400.7,0,0,0,0,0,DEFENSEBREAKER
12,Hi-shot-B,600.9,500.8,300.99,300.99,0,0,300.99,300.99,0,0.6,300.9,500.6,200.9,500.99,0,0.99,0.6,0.7,0.5,100.99,0,0,0,0,0,0,0,0,0,SHOOTER
